4934,4931
4176,4175
4158,4157
4333,4332
3748,3747
5109,5106
5111,5106
5996,4879
3754,3753
5010,5009
4738,4737
5435,5434
5079,5038
5557,5556
5740,5736
3356,3347
4025,4024
4139,4138
4610,4609
4664,4609
4679,4609
4859,4858
5464,5460
3720,3710
4876,4875
5398,5397
3594,3593
3592,3591
5814,5813
5815,5813
5816,5813
5190,5183
4729,4728
5693,5686
4526,4525
4133,4132
3950,3949
4735,4734
4408,4407
4978,4977
6148,6093
5858,5857
5007,5006
6254,6245
4236,4228
4786,4785
4794,4785
4795,4785
4797,4785
4476,4475
4478,4475
4479,4475
4266,4256
5064,5063
5396,5394
4556,4552
3425,3312
4763,4762
4316,4315
6372,6371
3376,3373
3889,3281
6208,6207
6209,6207
6114,6113
3730,3726
3624,3275
5514,5507
4218,4211
6223,6219
4966,4959
5958,5957
6339,6206
6266,6233
5210,5202
4633,4621
4953,4952
4954,4952
4955,4952
4956,4952
4957,4952
5352,5351
5356,5351
6322,6321
6115,6102
4354,4350
4342,4341
4965,4964
4994,4993
4995,4993
4996,4993
4997,4993
4125,4124
5084,5082
5484,5483
6222,6217
4891,3276
5472,5471
3587,3586
3588,3586
3589,3586
5602,5601
4276,4272
5269,5268
3554,3553
3555,3553
3632,3631
3613,3600
3614,3600
3792,3777
5096,5094
4688,4687
4689,4687
4690,4687
4691,4687
5470,3375
5230,5229
5242,5229
3461,3442
3570,3569
3571,3569
3572,3569
3574,3569
3575,3569
5786,5785
5424,5423
4361,4360
4053,4050
3817,3814
6412,6411
4671,4668
3671,3636
5204,5203
5179,5178
4968,4967
4969,4967
4970,4967
5745,5744
3798,3797
6161,6160
4985,4984
4986,4984
4111,4110
4992,4991
3205,3186
5061,5060
3907,3906
4298,4297
4789,4788
4950,4949
4951,4949
4980,4976
4981,4976
4982,4976
6286,6283
4901,4893
4919,4893
4863,4861
4872,4861
4796,4793
5121,5112
5341,5330
3590,3542
5332,5329
6269,4792
5205,5197
5659,5658
4774,4773
3677,3676
4322,4321
3970,3965
4409,4212
5343,5342
4927,4923
4928,4923
3414,3413
5186,5185
5527,5381
6410,6409
4201,4200
4202,4200
4203,4200
4493,4200
4494,4200
4097,4096
5340,5331
4746,4743
3522,3493
3521,3492
4336,4327
5320,5316
5321,5316
5191,5184
4868,4864
3604,3603
5080,5068
5479,5478
4812,4809
4820,4809
4454,4453
4703,4702
5333,5208
4338,4337
4347,4337
4269,4268
4270,4268
4271,4268
4733,4730
5025,5022
5349,5348
5350,5348
5872,5871
5910,5909
4383,4382
5091,3329
5890,5889
5477,5476
6363,6362
4412,4411
4438,4437
4451,4437
4208,4198
6204,6203
6205,6203
3716,3715
5792,5783
3940,3939
6228,6227
5420,5409
5646,5614
5074,5073
3455,3454
4673,4669
6010,6007
3478,3477
5244,5243
5245,5243
5972,5971
5699,5685
3960,3959
5837,5836
4960,4958
4961,4958
4962,4958
4181,4178
4189,4178
4432,4318
5312,5308
6190,6189
5884,5873
6295,5827
4392,4386
5578,5560
5428,5427
5260,5255
5867,5860
6350,6349
4938,3399
6157,6156
